model,year,price,mileage,tax,mpg,engineSize,transmission_Automatic,transmission_Manual,transmission_Semi-Auto,fuelType_Diesel,fuelType_Hybrid,fuelType_Petrol,state_New,state_Used
0,2015,11000,45551.0,0,80.7,3,0,1,0,1,0,0,0,1
5,2019,30500,9161.0,145,33.2,5,1,0,0,0,0,1,0,1
1,2019,23800,5472.0,145,55.4,5,0,1,0,1,0,0,0,1
7,2016,22495,25721.0,200,47.1,5,0,0,1,1,0,0,0,1
5,2017,16500,12632.0,150,55.4,0,0,1,0,0,0,1,0,1
2,2019,24750,4500.0,145,50.4,5,1,0,0,1,0,0,0,1
0,2017,15995,15187.0,145,76.3,3,0,1,0,1,0,0,0,1
4,2019,36991,2000.0,145,50.4,5,1,0,0,1,0,0,0,1
5,2019,25998,0.0,150,46.3,5,0,0,1,1,0,0,1,0
2,2016,13750,38298.0,125,53.3,1,0,1,0,0,0,1,0,1
7,2019,33950,4980.0,145,38.2,5,0,0,1,1,0,0,0,1
3,2015,14999,57141.0,125,58.9,5,1,0,0,1,0,0,0,1
4,2019,45912,5260.0,145,36.2,6,1,0,0,1,0,0,0,1
4,2016,18999,52287.0,125,58.9,5,1,0,0,1,0,0,0,1
5,2019,21644,8000.0,145,49.6,3,0,1,0,1,0,0,0,1
5,2019,24499,5606.0,145,39.2,2,0,1,0,0,0,1,0,1
2,2020,32500,3999.0,145,49.6,5,0,0,1,1,0,0,0,1
0,2016,11495,8000.0,0,67.3,0,0,1,0,0,0,1,0,1
6,2019,27950,1701.0,150,48.7,5,0,0,1,1,0,0,0,1
3,2019,24990,2650.0,150,67.3,5,1,0,0,1,0,0,0,1
2,2016,14000,48860.0,20,70.6,5,0,1,0,1,0,0,0,1
4,2019,32326,3866.0,145,39.2,6,1,0,0,1,0,0,0,1
1,2017,16498,2022.0,145,60.1,0,0,0,1,0,0,1,0,1
3,2012,9475,60000.0,125,57.6,5,0,1,0,1,0,0,0,1
1,2019,22850,5797.0,145,52.3,3,0,1,0,1,0,0,0,1
7,2019,32500,5204.0,150,55.4,5,0,0,1,1,0,0,0,1
2,2016,15290,36157.0,20,72.4,5,0,0,1,1,0,0,0,1
6,2016,19498,10855.0,160,49.6,5,0,1,0,1,0,0,0,1
7,2020,36500,5000.0,145,38.2,5,0,0,1,1,0,0,0,1
6,2015,15790,40675.0,145,54.3,5,0,0,1,1,0,0,0,1
6,2017,15600,36714.0,125,51.4,1,0,1,0,0,0,1,0,1
0,2016,10020,36843.0,0,76.3,3,0,1,0,1,0,0,0,1
7,2014,15490,69798.0,200,47.1,5,0,0,1,1,0,0,0,1
5,2019,27870,5872.0,145,33.2,5,0,0,1,0,0,1,0,1
3,2015,16498,46637.0,30,61.4,5,0,1,0,1,0,0,0,1
0,2017,12313,27015.0,145,55.4,1,0,1,0,0,0,1,0,1
6,2016,13995,58406.0,145,47.9,1,0,0,1,0,0,1,0,1
0,2016,9490,41445.0,0,67.3,0,0,1,0,0,0,1,0,1
6,2019,27162,5263.0,150,48.7,5,0,0,1,1,0,0,0,1
0,2017,14490,13000.0,145,55.4,1,0,1,0,0,0,1,0,1
1,2019,31500,0.0,145,36.7,5,1,0,0,0,0,1,1,0
4,2017,23990,28412.0,150,58.9,5,0,0,1,1,0,0,0,1
4,2015,15400,47348.0,30,61.4,5,0,1,0,1,0,0,0,1
1,2019,22500,14307.0,145,41.5,2,0,0,1,0,0,1,0,1
6,2017,24995,9078.0,145,40.4,5,0,0,1,0,0,1,0,1
